Fakultas,2013,2014,2015,2016,2017,2018,2019
Hukum ,23,87,60,42,50,32,12
FKIP,13,37,27,23,38,79,67
Teknik ,10,24,24,15,33,38,41
Pertanian ,3,4,5,7,5,18,33
FEB,39,43,73,47,42,54,25
FISIP,3,3,8,6,3,4,18
Kedokteran,,,,2,1,3,2
Pascasarjana ,,,,37,55,23,21
